sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
T-carthilicum-UnT-RP-3-16	Triticum_carthilicum	Ancestral	UnTreated	3	16	Rhizoplane	52.5	0.44
T-carthilicum-UnT-RP-4-25	Triticum_carthilicum	Ancestral	UnTreated	4	25	Rhizoplane	53	0.57
T-dicoccoides-T-RP-1-14	Triticum_dicoccoides	Ancestral	Treated	1	14	Rhizoplane	77.8	0.175
T-dicoccoides-T-RP-2-34	Triticum_dicoccoides	Ancestral	Treated	2	34	Rhizoplane	69.5	1.33
T-dicoccoides-T-RP-3-8	Triticum_dicoccoides	Ancestral	Treated	3	8	Rhizoplane	65.5	1.25
T-dicoccoides-T-RP-4-29	Triticum_dicoccoides	Ancestral	Treated	4	29	Rhizoplane	58.5	1.11
T-dicoccoides-UnT-RP-1-26	Triticum_dicoccoides	Ancestral	UnTreated	1	26	Rhizoplane	68	0.47
T-dicoccoides-UnT-RP-2-15	Triticum_dicoccoides	Ancestral	UnTreated	2	15	Rhizoplane	69.8	0.47
T-dicoccoides-UnT-RP-3-4	Triticum_dicoccoides	Ancestral	UnTreated	3	4	Rhizoplane	66.5	0.54
T-dicoccoides-UnT-RP-4-2	Triticum_dicoccoides	Ancestral	UnTreated	4	2	Rhizoplane	59.5	
T-macha-T-RP-1-39	Triticum_macha	Ancestral	Treated	1	39	Rhizoplane	72	3.04
T-macha-T-RP-2-14	Triticum_macha	Ancestral	Treated	2	14	Rhizoplane	77	1.15
T-macha-T-RP-3-34	Triticum_macha	Ancestral	Treated	3	34	Rhizoplane	55.5	1.69
T-macha-T-RP-4-18	Triticum_macha	Ancestral	Treated	4	18	Rhizoplane	70.5	2.03
T-macha-UnT-RP-1-19	Triticum_macha	Ancestral	UnTreated	1	19	Rhizoplane	55	0.49
T-macha-UnT-RP-2-11	Triticum_macha	Ancestral	UnTreated	2	11	Rhizoplane	66	0.53
T-macha-UnT-RP-3-29	Triticum_macha	Ancestral	UnTreated	3	29	Rhizoplane	79	0.73
T-macha-UnT-RP-4-14	Triticum_macha	Ancestral	UnTreated	4	14	Rhizoplane	72	0.59
T-monococcum-T-RP-1-10	Triticum_monococcum	Ancestral	Treated	1	10	Rhizoplane	83	1.11
T-monococcum-T-RP-2-37	Triticum_monococcum	Ancestral	Treated	2	37	Rhizoplane	35	0.3
T-monococcum-T-RP-3-13	Triticum_monococcum	Ancestral	Treated	3	13	Rhizoplane	89.5	1.09
T-monococcum-T-RP-4-7	Triticum_monococcum	Ancestral	Treated	4	7	Rhizoplane	70	0.47
T-monococcum-UnT-RP-1-23	Triticum_monococcum	Ancestral	UnTreated	1	23	Rhizoplane	24.5	0.54
